type,name,latitude_deg,longitude_deg,iso_country,scheduled_service,iata_code
large_airport,Tete Airport,-16.104799,33.640202,MZ,yes,TET
medium_airport,Telluride Regional Airport,37.9538,-107.907997,US,yes,TEX
medium_airport,Tezpur Airport,26.7091007232666,92.78469848632812,IN,yes,TEZ
medium_airport,Tefé Airport,-3.38294,-64.724098,BR,yes,TFF
small_airport,Tufi Airport,-9.07595443726,149.319839478,PG,yes,TFI
large_airport,Tenerife Norte-Ciudad de La Laguna Airport,28.482752,-16.341707,ES,yes,TFN
large_airport,Tenerife Sur Airport,28.0445,-16.5725,ES,yes,TFS
large_airport,Chengdu Tianfu International Airport,30.31252,104.441284,CN,yes,TFU
large_airport,Podgorica Airport / Podgorica Golubovci Airbase,42.359402,19.2519,ME,yes,TGD
medium_airport,Sultan Mahmud Airport,5.3826398849487305,103.10299682617188,MY,yes,TGG
small_airport,Tongoa Airport,-16.8910999298,168.550994873,VU,yes,TGH
medium_airport,Tiga Airport,-21.096407,167.80379,NC,yes,TGJ
medium_airport,Taganrog Yuzhny Airport,47.1983333,38.8491667,RU,yes,TGK
medium_airport,Târgu Mureş Transilvania International Airport,46.467701,24.4125,RO,yes,TGM
medium_airport,Tongliao Airport,43.556702,122.199997,CN,yes,TGO
small_airport,Tangará da Serra Airport,-14.662,-57.443744,BR,yes,TGQ
medium_airport,Touggourt Sidi Madhi Airport,33.067799,6.08867,DZ,yes,TGR
medium_airport,Tanga Airport,-5.09236,39.071201,TZ,yes,TGT
medium_airport,Toncontín Airport,14.0609,-87.217201,HN,yes,TGU
medium_airport,Angel Albino Corzo International Airport,16.561611,-93.025731,MX,yes,TGZ
small_airport,Tho Xuan Airport,19.901667,105.467778,VN,yes,THD
medium_airport,Senador Petrônio Portela Airport,-5.06025,-42.823712,BR,yes,THE
medium_airport,Thangool Airport,-24.494863,150.577967,AU,yes,THG
medium_airport,Tachileik Airport,20.483800888061523,99.9354019165039,MM,yes,THL
medium_airport,Trollhättan-Vänersborg Airport,58.31809997558594,12.345000267028809,SE,yes,THN
small_airport,Þórshöfn Airport,66.218459,-15.334739,IS,yes,THO
medium_airport,Tianshui Maijishan Airport,34.5601,105.860343,CN,yes,THQ
large_airport,Mehrabad International Airport,35.689175,51.314392,IR,yes,THR
medium_airport,Sukhothai Airport,17.238000869750977,99.81819915771484,TH,yes,THS
medium_airport,Pituffik Space Base,76.53063,-68.700541,GL,yes,THU
small_airport,Turukhansk Airport,65.797203,87.935303,RU,yes,THX
large_airport,Tirana International Airport Mother Teresa,41.4147,19.7206,AL,yes,TIA
small_airport,Tippi Airport,7.2024,35.415,ET,yes,TIE
large_airport,Taif International Airport,21.484739,40.544074,SA,yes,TIF
medium_airport,Tikehau Airport,-15.1196,-148.231003,PF,yes,TIH
large_airport,General Abelardo L. Rodriguez International Airport,32.541043,-116.969976,MX,yes,TIJ
medium_airport,Mozes Kilangin Airport,-4.52978,136.887388,ID,yes,TIM
medium_airport,Tindouf Airport,27.7003993988,-8.167099952700001,DZ,yes,TIN
medium_airport,Francisco Manglona Borja / Tinian International Airport,14.999207,145.619355,MP,yes,TIQ
large_airport,Tirupati International Airport,13.631988,79.539869,IN,yes,TIR
medium_airport,Timaru Airport,-44.302799224853516,171.22500610351562,NZ,yes,TIU
medium_airport,Tivat Airport,42.404701,18.723301,ME,yes,TIV
medium_airport,Tacoma Narrows Airport,47.267407,-122.577295,US,yes,TIW
small_airport,Tari Airport,-5.845,142.947998,PG,yes,TIZ
medium_airport,Capitan Oriel Lea Plaza Airport,-21.5557,-64.701302,BO,yes,TJA
medium_airport,Warukin Airport,-2.21656,115.435997,ID,yes,TJG
medium_airport,Konotori Tajima Airport,35.512798,134.787003,JP,yes,TJH
medium_airport,Tokat Airport,40.32472,36.39056,TR,yes,TJK
small_airport,Plínio Alarcom Airport,-20.752643,-51.682026,BR,yes,TJL
large_airport,Roshchino International Airport,57.178984,65.327696,RU,yes,TJM
small_airport,H A S Hanandjoeddin International Airport,-2.744109,107.754535,ID,yes,TJQ
small_airport,Tanjung Harapan Airport,2.835833,117.373611,ID,yes,TJS
large_airport,Kulob International Airport,37.988098,69.805,TJ,yes,TJU
medium_airport,Takoradi Airport,4.896059989929199,-1.7747600078582764,GH,yes,TKD
seaplane_base,Tenakee Seaplane Base,57.779701,-135.218002,US,yes,TKE
medium_airport,Truckee Tahoe Airport,39.318628,-120.140562,US,yes,TKF
medium_airport,Radin Inten II International Airport,-5.246803,105.182531,ID,yes,TKG
small_airport,Tok Junction Airport,63.32949829,-142.9539948,US,yes,TKJ
large_airport,Chuuk International Airport,7.46187,151.843002,FM,yes,TKK
small_airport,Taksimo Airport,56.361668,114.93,RU,yes,TKM
medium_airport,Tokunoshima Airport,27.836382,128.881356,JP,yes,TKN
medium_airport,Takapoto Airport,-14.709500312805176,-145.24600219726562,PF,yes,TKP
small_airport,Kigoma Airport,-4.8862,29.6709,TZ,yes,TKQ
large_airport,Tokushima Awaodori Airport / JMSDF Tokushima Air Base,34.132559,134.607816,JP,yes,TKS
large_airport,Turku Airport,60.514099,22.2628,FI,yes,TKU
small_airport,Tatakoto Airport,-17.355226,-138.44734,PF,yes,TKV
medium_airport,Takaroa Airport,-14.45580005645752,-145.02499389648438,PF,yes,TKX
small_airport,Teller Airport,65.240402,-166.339005,US,yes,TLA
large_airport,Adolfo López Mateos International Airport,19.3369,-99.56583,MX,yes,TLC
medium_airport,Toliara Airport,-23.3834,43.7285,MG,yes,TLE
medium_airport,Tallahassee International Airport,30.401209,-84.35433,US,yes,TLH
small_airport,Sultan Bantilan Airport,1.123428,120.793658,ID,yes,TLI
large_airport,Lennart Meri Tallinn Airport,59.413246,24.83264,EE,yes,TLL
large_airport,Zenata – Messali El Hadj Airport,35.012732,-1.457117,DZ,yes,TLM
medium_airport,Toulon-Hyères Airport,43.097301,6.14603,FR,yes,TLN
medium_airport,Turpan Jiaohe Airport,43.0308,89.0987,CN,yes,TLQ
large_airport,Toulouse-Blagnac Airport,43.629101,1.36382,FR,yes,TLS
small_airport,Tuluksak Airport,61.086973,-160.922842,US,yes,TLT
small_airport,Golfo de Morrosquillo Airport,9.50945,-75.5854,CO,yes,TLU
large_airport,Ben Gurion International Airport,32.011398,34.8867,IL,yes,TLV
small_airport,Plastun Airport,44.814999,136.292007,RU,yes,TLY
small_airport,Tambolaka Airport,-9.409224,119.242558,ID,yes,TMC
medium_airport,Gustavo Vargas Airport,6.45108,-71.7603,CO,yes,TME
small_airport,Thimarafushi Airport,2.211,73.1533,MV,yes,TMF
small_airport,Tomanggong Airport,5.40257,118.65763,MY,yes,TMG
medium_airport,Tanah Merah Airport,-6.09669,140.303521,ID,yes,TMH
small_airport,Tumling Tar Airport,27.315001,87.193298,NP,yes,TMI
medium_airport,Termez Airport,37.287261,67.311869,UZ,yes,TMJ
large_airport,Yakubu Tali International Airport,9.553909,-0.86606,GH,yes,TML
large_airport,Toamasina Ambalamanasy Airport,-18.113537,49.392262,MG,yes,TMM
large_airport,Tampere-Pirkkala Airport,61.414101,23.604401,FI,yes,TMP
large_airport,Aguenar – Hadj Bey Akhamok Airport,22.810992,5.450832,DZ,yes,TMR
large_airport,São Tomé International Airport,0.378175,6.71215,ST,yes,TMS
medium_airport,Trombetas Airport,-1.4896,-56.396801,BR,yes,TMT
medium_airport,Tamworth Airport,-31.077898,150.845484,AU,yes,TMW
medium_airport,Timimoun Airport,29.237101,0.276033,DZ,yes,TMX
